City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Rocha,-34.48,-54.34,45.15,81,0,3.62
Ayr,55.46,-4.63,53.6,93,90,5.82
Beringovskiy,63.05,179.32,51.45,100,44,8.99
Ushtobe,45.25,77.98,68.1,50,64,4.41
Amapa,15.09,-87.97,82.4,78,75,9.17
Matca,45.86,27.54,67.56,81,0,17.49
Tommot,58.97,126.27,63.06,73,20,2.95
Calvinia,-31.47,19.78,29.67,72,0,2.95
Kuandian,40.73,124.78,69.0,100,100,3.74
Yerbogachen,61.28,108.01,66.84,70,48,3.96
Huarmey,-10.07,-78.15,58.02,77,88,3.4
Djibo,14.1,-1.63,74.67,95,68,4.07
Wucheng,29.09,119.57,89.16,58,36,6.08
Islamkot,24.7,70.18,81.96,73,36,12.24
Dekar,-21.53,21.93,44.97,50,0,8.43
Rochegda,62.67,43.41,48.57,87,24,3.06
Buala,-8.15,159.59,80.7,99,68,1.16
Waipawa,-39.94,176.59,56.67,79,92,13.8
Belyy Yar,53.6,91.39,55.4,93,40,4.07
Kargasok,59.06,80.87,57.03,96,92,5.64
Imeni Poliny Osipenko,52.42,136.49,67.2,81,76,3.62
Savelugu,9.63,-0.83,70.08,98,92,5.53
Bushehr,28.97,50.84,87.8,84,0,9.17
Laurel,45.67,-108.77,68.0,32,40,9.17
Chinsali,-10.55,32.07,58.2,72,0,12.46
Kantunilkin,21.1,-87.49,78.8,83,75,3.36
Kostyantynivka,48.53,37.71,63.33,41,24,8.99
Toora-Khem,52.47,96.11,59.37,79,0,3.18
Zelenoborskiy,66.84,32.36,46.59,94,0,1.72
Jutai,-1.71,-47.89,74.67,96,20,3.96
Daru,7.99,-10.85,72.06,100,88,3.18
Big Rapids,43.7,-85.48,68.0,96,1,10.29
Srandakan,-7.94,110.25,79.26,71,64,4.52
Kenora,49.76,-94.48,57.2,62,90,2.73
Esil,51.96,66.41,55.86,81,20,7.76
Uyuni,-20.46,-66.82,24.27,65,0,2.73
Humaita,-24.93,-65.37,64.4,42,0,2.24
Pinahat,26.89,78.37,83.31,94,32,10.89
San Jose,15.79,120.99,83.58,84,24,3.18
Puerto Leguizamo,-0.19,-74.78,74.31,83,20,3.85
Sao Joao da Barra,-21.64,-41.05,71.52,100,68,7.43
Havoysund,71.0,24.66,48.2,70,0,11.41
Dabola,10.74,-11.11,68.91,98,92,0.94
Nanakuli,21.39,-158.15,84.92,77,90,10.29
Penzance,50.12,-5.53,57.2,93,88,2.24
Luangwa,-15.62,30.4,68.82,71,76,12.8
Karanganom,-8.13,113.13,77.46,94,44,5.19
Balingasay,16.36,119.86,84.03,94,80,10.45
